1	2	3	4	5	6	7	8
hasTemp	[s1] visual field defects [e1] present for at least @NUMBER months	visual field defects present for at least [s2] @NUMBER months [e2]	chronic_disease	lower_bound	6_0	6_1	6.0
hasTemp	anticipated to undergo [s1] pancreatectomy [e1] in ≥ @NUMBER weeks from enrollment	anticipated to undergo pancreatectomy in ≥ [s2] @NUMBER weeks [e2] from enrollment	treatment	lower_bound	7_0	7_1	7.0
NonRel	numeric pain rating scale of ≥ [s1] @NUMBER [e1] out of @NUMBER	numeric pain rating scale of ≥ @NUMBER out of [s2] @NUMBER [e2]	lower_bound	upper_bound	8_1	8_2	8.0
hasValue	[s1] age [e1] < @NUMBER years	age < [s2] @NUMBER years [e2]	age	upper_bound	9_0	9_1	9.0
NonRel	@NUMBER years of [s1] age [e1] or older with resectable pancreatic adenocarcinoma for whom surgery is planned ( includes borderline resectable if deemed appropriate by surgical investigators ) or has occurred within the past @NUMBER years	@NUMBER years of age or older with [s2] resectable pancreatic adenocarcinoma [e2] for whom surgery is planned ( includes borderline resectable if deemed appropriate by surgical investigators ) or has occurred within the past @NUMBER years	age	cancer	10_1	10_2	10.0
NonRel	@NUMBER years of age or older with [s1] resectable pancreatic adenocarcinoma [e1] for whom surgery is planned ( includes borderline resectable if deemed appropriate by surgical investigators ) or has occurred within the past @NUMBER years	@NUMBER years of age or older with resectable pancreatic adenocarcinoma for whom [s2] surgery [e2] is planned ( includes borderline resectable if deemed appropriate by surgical investigators ) or has occurred within the past @NUMBER years	cancer	treatment	10_2	10_3	10.0
NonRel	[s1] @NUMBER years [e1] of age or older with resectable pancreatic adenocarcinoma for whom surgery is planned ( includes borderline resectable if deemed appropriate by surgical investigators ) or has occurred within the past @NUMBER years	@NUMBER years of age or older with resectable pancreatic adenocarcinoma for whom surgery is planned ( includes borderline resectable if deemed appropriate by surgical investigators ) or has occurred within the [s2] past @NUMBER years [e2]	lower_bound	upper_bound	10_0	10_4	10.0
hasValue	[s1] ecog ( eastern cooperative oncology group ) performance status [e1] ≤ @NUMBER	ecog ( eastern cooperative oncology group ) performance status ≤ [s2] @NUMBER [e2]	clinical_variable	upper_bound	11_0	11_1	11.0
NonRel	[s1] er ( estrogen receptors ) [e1] and pr ( progesterone receptors ) expression must be < @NUMBER %	er ( estrogen receptors ) and [s2] pr ( progesterone receptors ) [e2] expression must be < @NUMBER %	clinical_variable	clinical_variable	12_0	12_1	12.0
NonRel	her2 must negative as shown be either [s1] @NUMBER [e1] or 1+ by immunohistochemistry ( if 2+ , in situ hybridization method used to define her2 ) or by a her2 : @NUMBER centromere signal of < @NUMBER using a standard in situ hybridization method	her2 must negative as shown be either @NUMBER or [s2] 1+ [e2] by immunohistochemistry ( if 2+ , in situ hybridization method used to define her2 ) or by a her2 : @NUMBER centromere signal of < @NUMBER using a standard in situ hybridization method	lower_bound	upper_bound	13_1	13_2	13.0
NonRel	[s1] her2 [e1] must negative as shown be either @NUMBER or 1+ by immunohistochemistry ( if 2+ , in situ hybridization method used to define her2 ) or by a her2 : @NUMBER centromere signal of < @NUMBER using a standard in situ hybridization method	her2 must negative as shown be either @NUMBER or 1+ by immunohistochemistry ( if 2+ , in situ hybridization method used to define her2 ) or by a her2 : @NUMBER [s2] centromere signal [e2] of < @NUMBER using a standard in situ hybridization method	clinical_variable	clinical_variable	13_0	13_3	13.0
NonRel	her2 must negative as shown be either @NUMBER or [s1] 1+ [e1] by immunohistochemistry ( if 2+ , in situ hybridization method used to define her2 ) or by a her2 : @NUMBER centromere signal of < @NUMBER using a standard in situ hybridization method	her2 must negative as shown be either @NUMBER or 1+ by immunohistochemistry ( if 2+ , in situ hybridization method used to define her2 ) or by a her2 : @NUMBER centromere signal of < [s2] @NUMBER [e2] using a standard in situ hybridization method	upper_bound	upper_bound	13_2	13_4	13.0
hasValue	[s1] gad7 score [e1] ≥ @NUMBER	gad7 score ≥ [s2] @NUMBER [e2]	clinical_variable	lower_bound	14_0	14_1	14.0
hasTemp	no [s1] psychotherapy [e1] within pcmh within past @NUMBER months including with the psychologist	no psychotherapy within pcmh within [s2] past @NUMBER months [e2] including with the psychologist	treatment	upper_bound	15_0	15_1	15.0
NonRel	severe [s1] mood disorder [e1] ( phq8 > @NUMBER )	severe mood disorder ( [s2] phq8 [e2] > @NUMBER )	chronic_disease	clinical_variable	16_0	16_1	16.0
NonRel	age [s1] @NUMBER [e1] - @NUMBER	age @NUMBER - [s2] @NUMBER [e2]	lower_bound	upper_bound	17_1	17_2	17.0
NonRel	age [s1] @NUMBER [e1] to @NUMBER years	age @NUMBER to [s2] @NUMBER years [e2]	lower_bound	upper_bound	19_1	19_2	19.0
hasTemp	[s1] head trauma [e1] within the previous two weeks	head trauma within the [s2] previous two weeks [e2]	chronic_disease	upper_bound	20_0	20_1	20.0
hasTemp	[s1] lumbar puncture [e1] within the previous two weeks	lumbar puncture within the [s2] previous two weeks [e2]	treatment	upper_bound	21_0	21_1	21.0
hasValue	[s1] temperature [e1] less than @NUMBER f	temperature less than [s2] @NUMBER f [e2]	clinical_variable	upper_bound	22_0	22_1	22.0
NonRel	subjects with mood symptoms , such as [s1] ham-d score [e1] ≥ @NUMBER and / or for hypomania / mild mania ymrs ≥ @NUMBER	subjects with mood symptoms , such as ham-d score ≥ @NUMBER and / or for hypomania / mild mania [s2] ymrs [e2] ≥ @NUMBER	clinical_variable	clinical_variable	24_0	24_2	24.0
NonRel	subjects with mood symptoms , such as ham-d score ≥ [s1] @NUMBER [e1] and / or for hypomania / mild mania ymrs ≥ @NUMBER	subjects with mood symptoms , such as ham-d score ≥ @NUMBER and / or for hypomania / mild mania ymrs ≥ [s2] @NUMBER [e2]	lower_bound	lower_bound	24_1	24_3	24.0
NonRel	history of [s1] neurologic abnormality [e1] , including significant head trauma ( defined by loss of consciousness of ≥ 5-minutes duration ) , seizure disorder , cerebrovascular or neoplastic lesion , or neurodegenerative disorder	history of neurologic abnormality , including significant [s2] head trauma [e2] ( defined by loss of consciousness of ≥ 5-minutes duration ) , seizure disorder , cerebrovascular or neoplastic lesion , or neurodegenerative disorder	chronic_disease	chronic_disease	25_0	25_1	25.0
NonRel	history of neurologic abnormality , including significant [s1] head trauma [e1] ( defined by loss of consciousness of ≥ 5-minutes duration ) , seizure disorder , cerebrovascular or neoplastic lesion , or neurodegenerative disorder	history of neurologic abnormality , including significant head trauma ( defined by loss of consciousness of ≥ 5-minutes duration ) , [s2] seizure disorder [e2] , cerebrovascular or neoplastic lesion , or neurodegenerative disorder	chronic_disease	chronic_disease	25_1	25_3	25.0
NonRel	history of neurologic abnormality , including significant head trauma ( defined by loss of consciousness of ≥ 5-minutes duration ) , [s1] seizure disorder [e1] , cerebrovascular or neoplastic lesion , or neurodegenerative disorder	history of neurologic abnormality , including significant head trauma ( defined by loss of consciousness of ≥ 5-minutes duration ) , seizure disorder , [s2] cerebrovascular [e2] or neoplastic lesion , or neurodegenerative disorder	chronic_disease	chronic_disease	25_3	25_4	25.0
NonRel	history of neurologic abnormality , including significant head trauma ( defined by loss of consciousness of ≥ 5-minutes duration ) , seizure disorder , [s1] cerebrovascular [e1] or neoplastic lesion , or neurodegenerative disorder	history of neurologic abnormality , including significant head trauma ( defined by loss of consciousness of ≥ 5-minutes duration ) , seizure disorder , cerebrovascular or [s2] neoplastic lesion [e2] , or neurodegenerative disorder	chronic_disease	cancer	25_4	25_5	25.0
NonRel	history of neurologic abnormality , including significant head trauma ( defined by loss of consciousness of ≥ 5-minutes duration ) , seizure disorder , cerebrovascular or [s1] neoplastic lesion [e1] , or neurodegenerative disorder	history of neurologic abnormality , including significant head trauma ( defined by loss of consciousness of ≥ 5-minutes duration ) , seizure disorder , cerebrovascular or neoplastic lesion , or [s2] neurodegenerative disorder [e2]	cancer	chronic_disease	25_5	25_6	25.0
NonRel	( defined as [s1] @NUMBER [e1] to @NUMBER days of treatment with vancomycin [ @NUMBER mg qid ] and / or fidaxomicin [ @NUMBER mg bid ] )	( defined as @NUMBER to [s2] @NUMBER days [e2] of treatment with vancomycin [ @NUMBER mg qid ] and / or fidaxomicin [ @NUMBER mg bid ] )	lower_bound	upper_bound	26_0	26_1	26.0
NonRel	( defined as @NUMBER to @NUMBER days of treatment with [s1] vancomycin [e1] [ @NUMBER mg qid ] and / or fidaxomicin [ @NUMBER mg bid ] )	( defined as @NUMBER to @NUMBER days of treatment with vancomycin [ @NUMBER mg qid ] and / or [s2] fidaxomicin [e2] [ @NUMBER mg bid ] )	treatment	treatment	26_2	26_3	26.0
hasValue	[s1] absolute neutrophil count [e1] of < @NUMBER cells / ml3	absolute neutrophil count of < [s2] @NUMBER cells / ml3 [e2]	clinical_variable	upper_bound	27_0	27_1	27.0
hasTemp	an adequate clinical response following [s1] soc antibiotic therapy [e1] , defined as ( < @NUMBER unformed stools in @NUMBER hours ) for @NUMBER or more consecutive days before randomization	an adequate clinical response following soc antibiotic therapy , defined as ( < [s2] @NUMBER [e2] unformed stools in @NUMBER hours ) for @NUMBER or more consecutive days before randomization	treatment	upper_bound	28_0	28_1	28.0
NonRel	history of [s1] active inflammatory bowel disease [e1] ( ulcerative colitis , crohn 's disease , microscopic colitis ) with diarrhea believed to be caused by active inflammatory bowel disease in the past @NUMBER months	history of active inflammatory bowel disease ( [s2] ulcerative colitis , [e2] crohn 's disease , microscopic colitis ) with diarrhea believed to be caused by active inflammatory bowel disease in the past @NUMBER months	chronic_disease	chronic_disease	29_0	29_1	29.0
NonRel	history of active inflammatory bowel disease ( [s1] ulcerative colitis , [e1] crohn 's disease , microscopic colitis ) with diarrhea believed to be caused by active inflammatory bowel disease in the past @NUMBER months	history of active inflammatory bowel disease ( ulcerative colitis , [s2] crohn 's disease [e2] , microscopic colitis ) with diarrhea believed to be caused by active inflammatory bowel disease in the past @NUMBER months	chronic_disease	chronic_disease	29_1	29_2	29.0
NonRel	history of active inflammatory bowel disease ( ulcerative colitis , [s1] crohn 's disease [e1] , microscopic colitis ) with diarrhea believed to be caused by active inflammatory bowel disease in the past @NUMBER months	history of active inflammatory bowel disease ( ulcerative colitis , crohn 's disease , [s2] microscopic colitis [e2] ) with diarrhea believed to be caused by active inflammatory bowel disease in the past @NUMBER months	chronic_disease	chronic_disease	29_2	29_3	29.0
NonRel	[s1] major gastrointestinal surgery [e1] ( e.g . significant bowel resection or diversion ) within @NUMBER months before enrollment ( this does not include appendectomy or cholecystectomy ) , or any history of total colectomy or bariatric surgery ( bariatric surgery which does not disrupt the gastrointestinal lumen , i.e. , restrictive procedures such as banding , are permitted )	major gastrointestinal surgery ( e.g . [s2] significant bowel resection or diversion [e2] ) within @NUMBER months before enrollment ( this does not include appendectomy or cholecystectomy ) , or any history of total colectomy or bariatric surgery ( bariatric surgery which does not disrupt the gastrointestinal lumen , i.e. , restrictive procedures such as banding , are permitted )	treatment	treatment	30_0	30_1	30.0
NonRel	major gastrointestinal surgery ( e.g . [s1] significant bowel resection or diversion [e1] ) within @NUMBER months before enrollment ( this does not include appendectomy or cholecystectomy ) , or any history of total colectomy or bariatric surgery ( bariatric surgery which does not disrupt the gastrointestinal lumen , i.e. , restrictive procedures such as banding , are permitted )	major gastrointestinal surgery ( e.g . significant bowel resection or diversion ) within @NUMBER months before enrollment ( this does not include [s2] appendectomy [e2] or cholecystectomy ) , or any history of total colectomy or bariatric surgery ( bariatric surgery which does not disrupt the gastrointestinal lumen , i.e. , restrictive procedures such as banding , are permitted )	treatment	treatment	30_1	30_3	30.0
NonRel	major gastrointestinal surgery ( e.g . significant bowel resection or diversion ) within @NUMBER months before enrollment ( this does not include [s1] appendectomy [e1] or cholecystectomy ) , or any history of total colectomy or bariatric surgery ( bariatric surgery which does not disrupt the gastrointestinal lumen , i.e. , restrictive procedures such as banding , are permitted )	major gastrointestinal surgery ( e.g . significant bowel resection or diversion ) within @NUMBER months before enrollment ( this does not include appendectomy or [s2] cholecystectomy [e2] ) , or any history of total colectomy or bariatric surgery ( bariatric surgery which does not disrupt the gastrointestinal lumen , i.e. , restrictive procedures such as banding , are permitted )	treatment	treatment	30_3	30_4	30.0
NonRel	major gastrointestinal surgery ( e.g . significant bowel resection or diversion ) within @NUMBER months before enrollment ( this does not include appendectomy or [s1] cholecystectomy [e1] ) , or any history of total colectomy or bariatric surgery ( bariatric surgery which does not disrupt the gastrointestinal lumen , i.e. , restrictive procedures such as banding , are permitted )	major gastrointestinal surgery ( e.g . significant bowel resection or diversion ) within @NUMBER months before enrollment ( this does not include appendectomy or cholecystectomy ) , or any history of total [s2] colectomy [e2] or bariatric surgery ( bariatric surgery which does not disrupt the gastrointestinal lumen , i.e. , restrictive procedures such as banding , are permitted )	treatment	treatment	30_4	30_5	30.0
NonRel	major gastrointestinal surgery ( e.g . significant bowel resection or diversion ) within @NUMBER months before enrollment ( this does not include appendectomy or cholecystectomy ) , or any history of total [s1] colectomy [e1] or bariatric surgery ( bariatric surgery which does not disrupt the gastrointestinal lumen , i.e. , restrictive procedures such as banding , are permitted )	major gastrointestinal surgery ( e.g . significant bowel resection or diversion ) within @NUMBER months before enrollment ( this does not include appendectomy or cholecystectomy ) , or any history of total colectomy or [s2] bariatric surgery [e2] ( bariatric surgery which does not disrupt the gastrointestinal lumen , i.e. , restrictive procedures such as banding , are permitted )	treatment	treatment	30_5	30_6	30.0
hasValue	≥ [s1] @NUMBER years [e1] of age	≥ @NUMBER years of [s2] age [e2]	lower_bound	age	31_0	31_1	31.0
NonRel	[s1] chronic hepatobiliary disease [e1] , conservatively defined as liver function tests ( ast , alt , alkaline phosphatase , total bilirubin ) > @NUMBER times the upper limit of normal	chronic hepatobiliary disease , conservatively defined as liver function tests ( [s2] ast [e2] , alt , alkaline phosphatase , total bilirubin ) > @NUMBER times the upper limit of normal	chronic_disease	clinical_variable	36_0	36_1	36.0
NonRel	chronic hepatobiliary disease , conservatively defined as liver function tests ( [s1] ast [e1] , alt , alkaline phosphatase , total bilirubin ) > @NUMBER times the upper limit of normal	chronic hepatobiliary disease , conservatively defined as liver function tests ( ast , [s2] alt [e2] , alkaline phosphatase , total bilirubin ) > @NUMBER times the upper limit of normal	clinical_variable	clinical_variable	36_1	36_2	36.0
NonRel	chronic hepatobiliary disease , conservatively defined as liver function tests ( ast , [s1] alt [e1] , alkaline phosphatase , total bilirubin ) > @NUMBER times the upper limit of normal	chronic hepatobiliary disease , conservatively defined as liver function tests ( ast , alt , [s2] alkaline phosphatase [e2] , total bilirubin ) > @NUMBER times the upper limit of normal	clinical_variable	clinical_variable	36_2	36_3	36.0
NonRel	chronic hepatobiliary disease , conservatively defined as liver function tests ( ast , alt , [s1] alkaline phosphatase [e1] , total bilirubin ) > @NUMBER times the upper limit of normal	chronic hepatobiliary disease , conservatively defined as liver function tests ( ast , alt , alkaline phosphatase , [s2] total bilirubin [e2] ) > @NUMBER times the upper limit of normal	clinical_variable	clinical_variable	36_3	36_4	36.0
hasValue	evidence for depressive symptoms ( score ≥ [s1] @NUMBER [e1] on the beck depression inventory , bdi )	evidence for depressive symptoms ( score ≥ @NUMBER on the [s2] beck depression inventory , bdi [e2] )	lower_bound	clinical_variable	37_0	37_1	37.0
NonRel	low [s1] bmd [e1] ( i.e. , proximal femur or lumbar spine z scores < @NUMBER )	low bmd ( i.e. , [s2] proximal femur [e2] or lumbar spine z scores < @NUMBER )	clinical_variable	clinical_variable	38_0	38_1	38.0
NonRel	low bmd ( i.e. , [s1] proximal femur [e1] or lumbar spine z scores < @NUMBER )	low bmd ( i.e. , proximal femur or [s2] lumbar spine z scores [e2] < @NUMBER )	clinical_variable	clinical_variable	38_1	38_2	38.0
NonRel	moderate or severe [s1] renal impairment [e1] defined as a calculated creatinine clearance < @NUMBER ml / min based on the equation of cockcroft and gault91	moderate or severe renal impairment defined as a calculated [s2] creatinine clearance [e2] < @NUMBER ml / min based on the equation of cockcroft and gault91	chronic_disease	clinical_variable	39_0	39_1	39.0
NonRel	at randomization , their planned course of [s1] antibacterial drug treatment [e1] for cdi is longer than @NUMBER days	at randomization , their planned course of antibacterial drug treatment for [s2] cdi [e2] is longer than @NUMBER days	treatment	chronic_disease	41_0	41_1	41.0
hasTemp	has received an [s1] investigational study agent [e1] within the previous @NUMBER days	has received an investigational study agent within the [s2] previous @NUMBER days [e2]	treatment	upper_bound	42_0	42_1	42.0
NonRel	receiving or is planning to receive a [s1] @NUMBER [e1] - to 21-day course of antibacterial drug treatment for cdi	receiving or is planning to receive a @NUMBER - to [s2] 21-day [e2] course of antibacterial drug treatment for cdi	lower_bound	upper_bound	44_0	44_1	44.0
NonRel	receiving or is planning to receive a @NUMBER - to 21-day course of [s1] antibacterial drug treatment [e1] for cdi	receiving or is planning to receive a @NUMBER - to 21-day course of antibacterial drug treatment for [s2] cdi [e2]	treatment	chronic_disease	44_2	44_3	44.0
hasValue	[s1] creatinine clearance [e1] less than @NUMBER ml / min	creatinine clearance less than [s2] @NUMBER ml / min [e2]	clinical_variable	upper_bound	45_0	45_1	45.0
NonRel	history of [s1] cva [e1] , mi , or vte within the previous @NUMBER days	history of cva , [s2] mi [e2] , or vte within the previous @NUMBER days	chronic_disease	chronic_disease	46_0	46_1	46.0
NonRel	history of cva , [s1] mi [e1] , or vte within the previous @NUMBER days	history of cva , mi , or [s2] vte [e2] within the previous @NUMBER days	chronic_disease	chronic_disease	46_1	46_2	46.0
hasValue	< [s1] age [e1] @NUMBER	< age [s2] @NUMBER [e2]	age	upper_bound	47_0	47_1	47.0
hasValue	[s1] age [e1] @NUMBER years old and older	age [s2] @NUMBER years [e2] old and older	age	lower_bound	48_0	48_1	48.0
hasTemp	intake of greater than [s1] @NUMBER mg [e1] of prednisone or equivalent per day	intake of greater than @NUMBER mg of [s2] prednisone [e2] or equivalent per day	lower_bound	treatment	49_0	49_1	49.0
hasValue	must have [s1] cdasi activity score [e1] of greater than or equal to @NUMBER	must have cdasi activity score of greater than or equal to [s2] @NUMBER [e2]	clinical_variable	lower_bound	50_0	50_1	50.0
hasValue	[s1] age [e1] greater than or equal to @NUMBER years old	age greater than or equal to [s2] @NUMBER years [e2] old	age	lower_bound	51_0	51_1	51.0
hasValue	[s1] serum creatinine [e1] greater than @NUMBER times the upper limit of normal	serum creatinine greater than [s2] @NUMBER times the upper limit of normal [e2]	clinical_variable	lower_bound	52_0	52_1	52.0
hasValue	subjects [s1] weighing [e1] greater than @NUMBER lbs . ( weight limit for scanner table ) , or unable to fit within the imaging gantry	subjects weighing greater than [s2] @NUMBER lbs [e2] . ( weight limit for scanner table ) , or unable to fit within the imaging gantry	clinical_variable	lower_bound	53_0	53_1	53.0
NonRel	known localized high risk [s1] prostate cancer [e1] ( psa > @NUMBER , gleason @NUMBER @NUMBER or clinical stage > t2c ) with evidence of disease on standard imaging	known localized high risk prostate cancer ( [s2] psa [e2] > @NUMBER , gleason @NUMBER @NUMBER or clinical stage > t2c ) with evidence of disease on standard imaging	cancer	clinical_variable	54_0	54_1	54.0
NonRel	known localized high risk prostate cancer ( [s1] psa [e1] > @NUMBER , gleason @NUMBER @NUMBER or clinical stage > t2c ) with evidence of disease on standard imaging	known localized high risk prostate cancer ( psa > @NUMBER , [s2] gleason [e2] @NUMBER @NUMBER or clinical stage > t2c ) with evidence of disease on standard imaging	clinical_variable	clinical_variable	54_1	54_2	54.0
NonRel	known localized high risk prostate cancer ( psa > @NUMBER , [s1] gleason [e1] @NUMBER @NUMBER or clinical stage > t2c ) with evidence of disease on standard imaging	known localized high risk prostate cancer ( psa > @NUMBER , gleason @NUMBER @NUMBER or [s2] clinical stage [e2] > t2c ) with evidence of disease on standard imaging	clinical_variable	clinical_variable	54_2	54_4	54.0
NonRel	known localized high risk prostate cancer ( psa > @NUMBER , gleason [s1] @NUMBER [e1] @NUMBER or clinical stage > t2c ) with evidence of disease on standard imaging	known localized high risk prostate cancer ( psa > @NUMBER , gleason @NUMBER @NUMBER or clinical stage > [s2] t2c [e2] ) with evidence of disease on standard imaging	lower_bound	lower_bound	54_3	54_5	54.0
NonRel	nonspecific or no evidence of disease on standard imaging modality and biochemical [s1] prostate cancer [e1] relapse with a psa greater than or equal to @NUMBER ng / ml	nonspecific or no evidence of disease on standard imaging modality and biochemical prostate cancer relapse with a [s2] psa [e2] greater than or equal to @NUMBER ng / ml	chronic_disease	clinical_variable	55_0	55_1	55.0
NonRel	age [s1] @NUMBER [e1] - @NUMBER years	age @NUMBER - [s2] @NUMBER years [e2]	lower_bound	upper_bound	56_1	56_2	56.0
NonRel	asa physical status [s1] @NUMBER [e1] @NUMBER or @NUMBER	asa physical status @NUMBER @NUMBER or [s2] @NUMBER [e2]	lower_bound	upper_bound	57_1	57_2	57.0
NonRel	child was prescribed [s1] treatment with a penicillin or cephalosporin class antibiotic regimen [e1] for @NUMBER days for a respiratory infection	child was prescribed treatment with a penicillin or cephalosporin class antibiotic regimen for @NUMBER days for a respiratory [s2] infection [e2]	treatment	chronic_disease	58_0	58_2	58.0
hasValue	prematurity , [s1] birth weight [e1] < @NUMBER grams	prematurity , birth weight < [s2] @NUMBER grams [e2]	clinical_variable	upper_bound	59_0	59_1	59.0
NonRel	between ages of [s1] @NUMBER [e1] - @NUMBER years	between ages of @NUMBER - [s2] @NUMBER years [e2]	lower_bound	upper_bound	60_1	60_2	60.0
hasValue	≤ [s1] @NUMBER years [e1] of age	≤ @NUMBER years of [s2] age [e2]	upper_bound	age	61_0	61_1	61.0
hasTemp	a [s1] strong or moderate cyp3a inhibitor or inducer [e1] within @NUMBER days	a strong or moderate cyp3a inhibitor or inducer within [s2] @NUMBER days [e2]	treatment	upper_bound	62_0	62_1	62.0
NonRel	an excluded [s1] antiplatelet [e1] / anticoagulant drug or a herbal supplement that affects platelet function within @NUMBER days , or @NUMBER half-lives , whichever is longer	an excluded antiplatelet / [s2] anticoagulant drug [e2] or a herbal supplement that affects platelet function within @NUMBER days , or @NUMBER half-lives , whichever is longer	treatment	treatment	63_0	63_1	63.0
NonRel	an excluded antiplatelet / [s1] anticoagulant drug [e1] or a herbal supplement that affects platelet function within @NUMBER days , or @NUMBER half-lives , whichever is longer	an excluded antiplatelet / anticoagulant drug or a [s2] herbal supplement [e2] that affects platelet function within @NUMBER days , or @NUMBER half-lives , whichever is longer	treatment	treatment	63_1	63_2	63.0
hasTemp	[s1] aspirin [e1] within @NUMBER days , or @NUMBER half-lives , whichever is longer	aspirin within [s2] @NUMBER days [e2] , or @NUMBER half-lives , whichever is longer	treatment	upper_bound	64_0	64_1	64.0
hasValue	[s1] eastern cooperative oncology group ( ecog ) [e1] less than @NUMBER	eastern cooperative oncology group ( ecog ) less than [s2] @NUMBER [e2]	clinical_variable	upper_bound	65_0	65_1	65.0
NonRel	[s1] inotuzumab [e1] within @NUMBER days and must have alt , ast and bilirubin < uln	inotuzumab within @NUMBER days and must have [s2] alt [e2] , ast and bilirubin < uln	treatment	clinical_variable	66_0	66_2	66.0
NonRel	inotuzumab within @NUMBER days and must have [s1] alt [e1] , ast and bilirubin < uln	inotuzumab within @NUMBER days and must have alt , [s2] ast [e2] and bilirubin < uln	clinical_variable	clinical_variable	66_2	66_3	66.0
NonRel	inotuzumab within @NUMBER days and must have alt , [s1] ast [e1] and bilirubin < uln	inotuzumab within @NUMBER days and must have alt , ast and [s2] bilirubin [e2] < uln	clinical_variable	clinical_variable	66_3	66_4	66.0
hasValue	[s1] karnofsky [e1] greater than or equal to @NUMBER	karnofsky greater than or equal to [s2] @NUMBER [e2]	clinical_variable	lower_bound	67_0	67_1	67.0
hasValue	[s1] lansky [e1] greater than or equal to @NUMBER	lansky greater than or equal to [s2] @NUMBER [e2]	clinical_variable	lower_bound	68_0	68_1	68.0
